Label_Name,Label,Text
Sensitive: Address,0,address
Sensitive: Address,0, Street name and address
Sensitive: Sexual Orientation,0,lesbian 
Sensitive: Sexual Orientation,0,gay
Sensitive: Sexual Orientation,0,straight not gay 
Sensitive: Sexual Orientation,0,unknown 
Sensitive: Sexual Orientation,0,bisexual 
Sensitive: Sexual Orientation,0,asexual 
Sensitive: Sexual Orientation,0,the patient is straight 
Sensitive: Sexual Orientation,0,the patient is bisexual 
Sensitive: Sexual Orientation,0,the patient is asexual 
Sensitive: Sexual Orientation,0,the patient is not sexually active 
Sensitive: Sexual Orientation,0,sexuality unknown 
Sensitive: Sexual Orientation,0,sexual orientation unknown 
Sensitive: Sexual Orientation,0,sex
Sensitive: Academic Transcripts,0,The academic transcript of the patient of the university 
Sensitive: Academic Transcripts,0,The academic trascript of the 
Sensitive: Academic Transcripts,0,The patient did the following study at the university of Milan 
Sensitive: Academic Transcripts,0,Academic transcript or study
Sensitive: Academic Transcripts,0,Education of the patient including grades 
Sensitive: Academic Transcripts,0,the patient has no grades 
Sensitive: Academic Transcripts,0,The patient has no academic transcript
Sensitive: Academic Transcripts,0,no education detailed information available 
Sensitive: Academic Transcripts,0,An Official Academic Transcript is a document produced and certified by your prior institution that provides a complete and unaltered list of all the study you have completed with them.
Sensitive: Academic Transcripts,0,I was an intelligent student however my level of intelligence failed to pragmatize in my academic transcripts.
Sensitive: Academic Transcripts,0,school records 
Sensitive: Academic Transcripts,0,education records of the patient 
Sensitive: Academic Transcripts,0,academic transcripts of education 
Sensitive: Other,0,This is sensitive data 
Sensitive: Other,0,this data should be masked
Sensitive: Other,0,this data needs to be secured
Sensitive: Other,0,security is important 
Sensitive: Other,0,confidencial data
Sensitive: Other,0,private data 
Sensitive: Other,0,sensitivity 
Sensitive: Other,0,high sensitivity 
Sensitive: Other,0,please do not share this data 
Sensitive: Other,0,authentication necessary 
Sensitive: Other,0,only for patient and doctor 
Sensitive: Other,0,highly confidencial 
Sensitive: Other,0,extremely sensitive
Non-Sensitive: Gender,1,male
Non-Sensitive: Gender,1,female
Non-Sensitive: Gender,1,the patient is a male 
Non-Sensitive: Gender,1,the patient is a female 
Non-Sensitive: Gender,1,male or female 
Non-Sensitive: Gender,1,gender is unknown
Non-Sensitive: Gender,1,the gender of the patient is male 
Non-Sensitive: Gender,1,the gender of the patient is female 
Non-sensitive: Age,1,the birth data of the patient is 22-09-1994
Non-sensitive: Age,1,the age of the patient is 32
Non-sensitive: Age,1,age:32
Non-sensitive: Age,1,birth date: 04-05-99
Non-sensitive: Age,1,1970-07-25
Non-sensitive: Age,1,1965-07-12
Non-sensitive: Age,1,1949-01-10
Non-sensitive: Age,1,1980-04-04
Non-sensitive: Age,1,1951-06-11 
Non-sensitive: Age,1,1977-06-30
Non-sensitive: Age,1,1962-12-15
Non-sensitive: Age,1,1930-05-28
Non-sensitive: Age,1,1962-12-15
Non-sensitive: Age,1,1974-10-13
Non-sensitive: Age,1,1944-11-25
Non-sensitive: Race,1,Asian 
Non-sensitive: Race,1,White
Non-sensitive: Race,1,Asian 
Non-sensitive: Race,1,African
Non-sensitive: Race,1,White
Non-sensitive: Race,1,Unknown race
Non-sensitive: Race,1,race is unknown
Non-sensitive: Race,1,caucasian 
Non-sensitive: Race,1,african 
Non-sensitive: Race,1,asian 
Non-sensitive: Race,1,white 
Non-sensitive: Race,1,latin american 
Non-sensitive: Race,1,african 
Non-sensitive: Race,1,white 
Non-sensitive: Race,1,race not known
Non-sensitive: Education,1,high school 
Non-sensitive: Education,1,elementary education 
Non-sensitive: Education,1,university 
Non-sensitive: Education,1,higher education 
Non-sensitive: Education,1,primary school 
Non-sensitive: Education,1,postsecondary education 
Non-sensitive: Education,1,higher education (university)
Non-sensitive: Education,1,secondary education 
Non-sensitive: Education,1,secondary level education 
Non-sensitive: Education,1,primary education 
Non-sensitive: Education,1,university postsecondary 
Non-sensitive: Education,1,university college 
Non-sensitive: Education,1,college university higher education 
Non-sensitive: Education,1,elementary/primary education 
Non-sensitive: Occupation,1,job description teacher
Non-sensitive: Occupation,1,lawyer
Non-sensitive: Occupation,1,occupation police officer 
Non-sensitive: Occupation,1,doctor 
Non-sensitive: Occupation,1,heavy labor 
Non-sensitive: Occupation,1,construction 
Non-sensitive: Occupation,1,cab driver 
Non-sensitive: Occupation,1,job title IT manager 
Non-sensitive: Occupation,1,chef 
Non-sensitive: Occupation,1,hotel keeper 
Non-sensitive: Occupation,1,occupation or job title 
Non-sensitive: Occupation,1,this is the job title field of the patient 
Non-sensitive: Occupation,1,social work
Non-sensitive: Occupation,1,professor 
Non-sensitive: Occupation,1,no occupation 
Non-sensitive: Height,1,1.82 metes 
Non-sensitive: Height,1,195cm 
Non-sensitive: Height,1,6'1
Non-sensitive: Height,1,length of patient in centimeters 
Non-sensitive: Height,1,5 feet 4 inches
Non-sensitive: Height,1,5 foot 9 inches
Non-sensitive: Height,1,5 feet 10 inches
Non-sensitive: Height,1,190.50 centimeters
Non-sensitive: Height,1,134.62 centimeters
Non-sensitive: Height,1,152.40 centimeters
Non-sensitive: Height,1,198.12 centimeters
Non-sensitive: Height,1,5 feet 11 inches	
Non-sensitive: Height,1,4 feet 7 inches	
Non-sensitive: Height,1,6 feet 8 inches	 
Non-sensitive: Height,1,203.20 centimeters
Non-sensitive: Eye Color,1,eye color of patient 
Non-sensitive: Eye Color,1,the eye color of the patient is blue 
Non-sensitive: Eye Color,1,green
Non-sensitive: Eye Color,1,brown 
Non-sensitive: Eye Color,1,eye color: brown
Non-sensitive: Eye Color,1,green
Non-sensitive: Eye Color,1,blue 
Non-sensitive: Eye Color,1,grey 
Non-sensitive: Eye Color,1,eye color is green
Non-sensitive: Eye Color,1,brown 
Non-sensitive: Eye Color,1,brown color 
Non-sensitive: Eye Color,1,eye color: grey
Non-sensitive: Eye Color,1,blue 
Non-sensitive: Eye Color,1,green 
Non-sensitive: Eye Color,1,brown 
Non-sensitive: Blood Type,1,Blood type of patient 
Non-sensitive: Blood Type,1,AB
Non-sensitive: Blood Type,1,A
Non-sensitive: Blood Type,1,B
Non-sensitive: Blood Type,1,O
Non-sensitive: Blood Type,1,BLood type unknown 
Non-sensitive: Blood Type,1,Blood type B 
Non-sensitive: Blood Type,1,Blood type A 
Non-sensitive: Blood Type,1,Blood type o
Non-sensitive: Blood Type,1,Blood type AB
Non-sensitive: Blood Type,1,Blood group A
Non-sensitive: Blood Type,1,Blood group B
Non-sensitive: Blood Type,1,Blood group AB
Non-sensitive: Blood Type,1,Blood group O
Non-sensitive: Blood Type,1,Blood group A or B 
Non-sensitive: Other,1,This data is non-sensitive 
Non-sensitive: Other,1,This data should be available easily
Non-sensitive: Other,1,non sensitive
Non-sensitive: Other,1,non-sensitive 
Non-sensitive: Other,1,unsensitive 
Non-sensitive: Other,1,not sensitive 






